Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_styaaa,"The ""y"" acts as a vowel.","""y"" действует как гласная.","Die ""y"" fungiert als Vokal.","La ""y"" actúa como vocal.","Le ""y"" agit comme une voyelle.","""y"" تعمل كحرف العلة.","""y"" 充当元音。","""y"" harfi harfleri gibi davranır.","O ""y"" age como uma vogal.",,,
_styat,"The ""y"" at the end of the word will make the long ""i"" sound.","В конце слова ""y"" будет звучать длинный текст ""i"".","Das ""y"" am Ende des Wortes wird den langen ""i"" Klang machen.","La ""y"" al final de la palabra hará sonar el largo ""yo"".","Le ""y"" à la fin du mot fera le long ""i"" son.","""y"" في نهاية الكلمة سيجعل الطويل ""انا"" الصوت.","""y"" 在词的结尾将使长的 ""i"" 声音。","Sözcüğün sonunda ""y"" uzun ""ı"" sesi yapacaktır.","O ""y"" no final da palavra vai fazer o som ""i"" longo.",,,
_styitw,"The ""y"" in the word ""fly"" says the sound of long ""i"".","""y"" в слове ""Муха"" говорит, что звук длинного ""i"".","Das ""y"" im Wort ""Fly"" sagt der Klang von langer ""i"".","La ""y"" en la palabra ""fly"" dice el sonido de ""i"" largo.","Le ""y"" dans le mot ""Fly"" dit le son de long ""i"".","""y"" في كلمه ""يطير"" يقول صوت طويل ""انا"".","""飞"" 一词中的 ""y"" 表示长 ""i"" 的声音。","""Fly"" kelimesinin ""y"" sesi uzun ""ı"" diyor.","O ""y"" na palavra ""Fly"" diz o som de ""i"" longo.",,,
_stsicp,"The '""s"" is called possessive because it means that something belongs to someone or something.","""s"" называется одержимым, потому что это значит, что что-то принадлежит кому-то или что-то вроде того.","Das ""s"" wird besessen genannt, weil es bedeutet, dass etwas jemandem oder etwas gehört.","La ""s"" se llama posesivo porque significa que algo pertenece a alguien o algo así.",Le «s» est appelé possessif parce que cela signifie que quelque chose appartient à quelqu'un ou quelque chose.,"""s"" يسمي غيور لأنه يعني ان شيئا ينتمي إلى شخص أو شيء من هذا."," s ' 被称为占有, 因为它意味着某物属于某人或某物。","""s"" diye adlandırılır çünkü bir şey birine veya bir şeye ait anlamına gelir.","O ""s"" é chamado de possessivo porque significa que algo pertence a alguém ou algo assim.",,,
_stbwtl1,"The best way to learn ""ng"" is to put a vowel before the ""ng"".","Лучшим способом научиться ""NG"" является выставить гласную перед ""NG"".","Der beste Weg, ""ng"" zu erlernen ist, einen Vokal vor dem ""ng"" zu setzen.","La mejor manera de aprender ""NG"" es poner una vocal antes de la ""NG"".","La meilleure façon d'apprendre ""ng"" est de mettre une voyelle avant le ""ng"".","أفضل طريقه لتعلم ""نانوغرام"" هو وضع حرف العلة قبل ""نانوغرام"".","学习 ""ng"" 的最好方法是在 ""ng"" 之前放一个元音。","""NG"" öğrenmenin en iyi yolu ""NG"" önce bir sesli harf koymak.","A melhor maneira de aprender ""ng"" é colocar uma vogal antes do ""ng"".",,,
_stbwtln,"The best way to learn ""nk"" is to put a vowel before the ""nk"".","Лучший способ узнать ""Нагорный Карабах"" состоит в том, чтобы поставить гласную перед ""Нагорным Карабахом"".","Der beste Weg, ""NK"" zu erlernen ist, einen Vokal vor dem ""NK"" zu setzen.","La mejor manera de aprender ""NK"" es poner una vocal antes de la ""NK"".","La meilleure façon d'apprendre ""NK"" est de mettre une voyelle avant le ""NK"".","أفضل طريقه لتعلم ""ناغورني كاراباخ"" هو وضع حرف العلة قبل ""ناغورني كاراباخ"".","学习 ""nk"" 的最好方法是在 ""nk"" 之前放一个元音。","""nk"" öğrenmek için en iyi yolu ""nk"" önce bir sesli harf koymak.","A melhor maneira de aprender ""NK"" é colocar uma vogal antes do ""NK"".",,,
_stbodm,The blend or digraph must stay together.,Смесь или расграфа должна держаться вместе.,Die Mischung oder Digraph muss zusammenhalten.,La mezcla o el digrama deben permanecer juntos.,Le mélange ou le Digraphe doit rester ensemble.,يجب ان يبقي المزج أو الرسم البياني معا.,混合或有向图必须保持在一起。,Karışım veya digraph birlikte kalmak gerekir.,A mistura ou o digrafe devem permanecer junto.,,,
_stbywb1,"The blends you will be practicing within this lesson are ""bl"", ""cl"", ""fl"", ""gl"", ""pl"", and ""sl"".","В этом уроке будут использоваться ""BL"", ""CL"", ""FL"", ""GL"", ""PL"" и ""SL"".","Die Blends, die Sie in dieser Lektion üben werden, sind ""BL"", ""CL"", ""fl"", ""GL"", ""pl"" und ""SL"".","Las mezclas que usted ""estará"" practicando dentro de esta lección son ""BL"", ""CL"", ""FL"", ""GL"", ""PL"", y ""SL"".","Les mélanges que vous «serez» pratiquant dans cette leçon sont «BL», «Cl», «FL», «GL», «PL» et «SL».","يمزج سوف ""يكون"" ممارسه ضمن هذا الدرس هي ""bl"" ، ""cl"" ، ""فلوريدا"" ، ""gl"" ، ""pl"" ، و ""sl"".","你将在本课中练习的混合物是 ""bl""、""cl""、""fl""、""gl""、""pl"" 和 ""sl""。","Bu derste ""BL"", ""CL"", ""fl"", ""GL"", ""pl"" ve ""SL"" olan karışımlar.","As misturas que você vai ""ser"" praticando dentro desta lição são ""BL"", ""CL"", ""FL"", ""GL"", ""pl"", e ""SL"".",,,
_stbywb,The blends you will be practicing within this lesson are...,"Переходы, которые вы будете ""проводить"" в этом уроке, являются...","Die Mischungen werden Sie ""be"" üben in dieser Lektion sind ...","Las mezclas que usted ""estará"" practicando dentro de esta lección son ...",Les mélanges que vous allez «être» la pratique dans cette leçon sont ...,"يمزج سوف ""يكون"" ممارسه ضمن هذا الدرس...",你将在本课中练习的混合是..。,"Bu ders içinde ""olacak"" olacak karışımları...","As misturas que você vai ""ser"" praticando dentro desta lição são...",,,
_stcsew,The closed syllable exception words with long vowel sounds are:,Слова исключения из закрытого слога с длинными гласными звучит:,Die geschlossene Silbe Exception Words mit langen Vokal-Sounds sind:,Las palabras de la excepción de la sílaba cerrada con sonidos largos de la vocal son:,Les mots d'exception de syllabe fermée avec de longs sons de voyelle sont:,الكلمات المستثنية المقطعة المغلقة مع أصوات أحرف العلة الطويلة هي:,闭合的音节例外词与长的元音声音是:,Uzun sesli sesleri olan kapalı hece istisna sözcükleri şunlardır:,As palavras de exceção de sílabas fechadas com sons de vogais longos são:,,,
_stcmou,The combination makes one unique sound.,Комбинация делает один уникальный звук.,Die Kombination macht einen einzigartigen Klang.,La combinación hace un sonido único.,La combinaison fait un son unique.,التركيبة تجعل صوت واحد فريد.,组合使一个独特的声音。,Kombinasyon benzersiz bir ses yapar.,A combinação faz um som único.,,,
_stccmt,"The consonant “c” made the sound of “s”, not the sound of “k”.","Согласные ""c"" сделали звук ""s"", а не звук ""к"".","Der Konsonanten ""c"" machte den Klang von ""s"", nicht den Klang von ""k"".","La consonante ""c"" hizo el sonido de ""s"", no el sonido de ""k"".","La consonne ""c"" a fait le son de ""s"", pas le son de ""k"".","الساكنة ""ج"" جعلت صوت ""s"" ، وليس صوت ""ك"".","辅音 ""c"" 发出 ""s"" 的声音, 而不是 ""k"" 的声音。","Sessiz ""c"" ses ""s"", ""k"" ses yaptı.","A consoante ""c"" fez o som de ""s"", não o som de ""k"".",,,
_stccwc,"the consonant ""c"", which can make the /""s""/ sound.","согласный ""c"", который может сделать ""s""/звук.","der Konsonanten ""c"", die den/""s""/Klang machen kann.","la consonante ""c"", que puede hacer el/""s""/sonido.","la consonne ""c"", qui peut faire le/""s""/Sound.","الساكنة ""c"", اي يستطيع جعلت ال/""[س]""/صوت.","辅音 ""c"", 可以做/""s""/声音。","sessiz ""c"",/""s""/ses yapabilir.","a consoante ""c"", que pode fazer o/""s""/som.",,,
_stcgwm,"The consonant ""g"" will make the /""j""/ sound when followed by the letter ""e"". ""i"", or ""y"".","В согласных ""g"" будет сделана буква ""j""/звук, за которой следует буквы ""е"". ""я"" или ""y"".","Der Konsonanten ""g"" wird den/""j""/Klang machen, wenn der Buchstabe ""e"" gefolgt ist. ""i"" oder ""y"".","La consonante ""g"" hará que el/""j""/sonido se siga con la letra ""e"". ""i"", o ""y"".","La consonne ""g"" fera le/""j""/Sound lorsqu'il sera suivi de la lettre ""e"". ""je"", ou ""y"".","سيجعل الحرف ""g"" الساكن/""j""/صوتا عند اتباعه في الرسالة ""هاء"". ""انا"" ، أو ""y"".","在字母 ""e"" 后面, 辅音 ""g"" 将发出/""j""/声音。""i"" 或 ""y""。","Ünsüz ""g"", ""e"" harfi ile izlenen/""j""/ses yapacaktır. ""Ben"" ya da ""y"".","A consoante ""g"" fará o/""j""/som quando seguido pela letra ""e"". ""eu"", ou ""y"".",,,
_stcate,The consonant at the end of the word is doubled.,Согласные в конце слова удвоены.,Der Konsonanten am Ende des Wortes wird verdoppelt.,La consonante al final de la palabra se duplica.,La consonne à la fin du mot est doublée.,يتم مضاعفه الساكنة في نهاية الكلمة.,单词末尾的辅音加倍。,Sözcüğün sonundaki ünsüz iki katına çıkmış.,A consoante no final da palavra é duplicada.,,,
_stcd1,the consonant digraph...,согласность...,der Konsonanten Digraph ...,el digrama de consonante ...,le Digraphe consonne ...,الرسم البياني الساكن...,辅音有向图..。,sessiz digraph...,o digrafo consoante...,,,
_stcg,the consonant digraphs...,согласные...,die Konsonanten Digraphen ...,los digramas de consonantes ...,les digrammes consonnes ...,الرسومات البيانية الساكنة...,辅音图..。,sessiz dahil...,os digrafos consoante...,,,
_stchot,The consonant hooks onto the first vowel to form a closed syllable.,"Согласные на первый гласный, чтобы сформировать закрытый слог.","Der Konsonanten Haken auf den ersten Vokal, um eine geschlossene Silbe zu bilden.",La consonante se engancha en la primera vocal para formar una sílaba cerrada.,La consonne s'accroche sur la première voyelle pour former une syllabe fermée.,السنانير الساكنة علي حرف العلة الأول لتشكيل مقطع مغلق.,辅音钩在第一个元音上形成一个闭合的音节。,Ünsüz bir kapalı hece oluşturmak için ilk sesli harfe kanca.,Os ganchos consoante a primeira vogal formam uma sílaba fechada.,,,
_stcibt,The consonant immediately before the “le” is part of the consonant “le” syllable.,"Согласные непосредственно перед ""Ле""-это часть согласных ""Le"".","Der Konsonanten unmittelbar vor dem ""Le"" ist Teil der Konsonanten ""Le"" Silbe.","La consonante inmediatamente antes del ""le"" es parte de la sílaba ""le"" de la consonante.","La consonne immédiatement avant le ""le"" fait partie de la syllabe ""le"".","الساكنة مباشره قبل ال ""[ل]"" جزء من الساكنة ""[ل]"" مقطع لفظي.","紧接在 ""le"" 之前的辅音是辅音 ""le"" 音节的一部分。","Sessiz ""Le"" hemen önce ünsüz ""Le"" hece bir parçasıdır.","A consoante imediatamente antes do ""Le"" faz parte da sílaba ""Le"" consoante.",,,
_stci,"The consonant is (""Hint2"")","Согласные (""хинт2"")","Der Konsonanten ist (""Hint2"")","La consonante es (""Hint2"")","La consonne est (""Hint2"")","الساكن هو (""Hint2"")","辅音是 (""Hint2"")","Ünsüz (""Hint2"")","A consoante é (""Hint2"")",,,
_stcles,"the consonant ""l""-""e"" syllable.","согласный ""l""-""е"".","die Konsonanten ""l""-""e""-Silbe.","la sílaba de consonante ""l""-""e"".","la consonne ""l""-""e"" syllabe.","المقطع الساكن ""l""-""e"" لفظي.","辅音 ""l""-""e"" 音节。","ünsüz ""l""-""e"" hece.","a consoante ""l""-""e"" sílaba.",,,
_stcsi,The consonant sound is...,Согласный звук...,Der Konsonanten ist ...,El sonido de consonante es ...,Le son consonne est ...,الصوت الساكن هو...,辅音音是..。,Sessiz ses...,O som de consoante é...,,,
_stca,The consonants are...,Согласные...,Die Konsonanten sind ...,Las consonantes son ...,Les consonnes sont ...,الساكنة...,辅音是..。,Ünsüzler...,As consoantes são...,,,
_stcbtv,"The consonants between the vowels are...(""Hint2"")","Согласные между гласными... (""хинт2"")","Die Konsonanten zwischen den Vokale sind ... (""Hint2"")","Las consonantes entre las vocales son ... (""Hint2"")","Les consonnes entre les voyelles sont ... (""Hint2"")","الحروف الساكنة بين حرف العلة... (""Hint2"")","元音之间的辅音是..。(""Hint2"")","Sesli harfler arasındaki ünsüzler... (""Hint2"")","As consoantes entre as vogais são... (""Hint2"")",,,
_stcitd,The consonants in these digraphs do have separate sounds.,Согласные в этих расграфах имеют отдельные звуки.,Die Konsonanten in diesen Digraphen haben getrennte Töne.,Las consonantes en estos digramas tienen sonidos separados.,Les consonnes de ces digrammes ont des sons distincts.,الحروف الساكنة في هذه الرسوم البيانية لديها أصوات منفصلة.,这些图的辅音有不同的声音。,Bu dahil ünsüzlerin birbirinden ayrı sesleri vardır.,As consoantes destes digrafos têm sons distintos.,,,
_stcai1,The correct answer is... (letters),Правильный ответ... письма),Die richtige Antwort ist ... Buchstaben),La respuesta correcta es ... cartas),La bonne réponse est ... lettres),الاجابه الصحيحة هي... رسائل),正确答案是..。字母),Doğru cevap... harfler),A resposta correta é... cartas),,,
_stcai,The correct answer is... (words),Правильный ответ... слова),Die richtige Antwort ist ... Worte),La respuesta correcta es ... palabras),La bonne réponse est ... Mots),الاجابه الصحيحة هي... عبارة),正确答案是..。词语),Doğru cevap... deyişle),A resposta correta é... palavras),,,
_stcai2,The correct answer is...(sounds),Правильный ответ... звучит),Die richtige Antwort ist ... klingt),La respuesta correcta es ... suena),La bonne réponse est ... sons),الاجابه الصحيحة هي... يبدو),正确答案是..。听),Doğru cevap... sesler),A resposta correta é... Parece),,,
_stdftw,"The digraph for this word is...(""SkillWave"")","Это слово... (""скиллваве"")","Die Digraph für dieses Wort ist ... (""SkillWave"")","El digrama de esta palabra es ... (""SkillWave"")","Le Digraphe pour ce mot est ... (""SkillWave"")","الرسم البياني لهذه الكلمة هو... (""المهارة الموجهة"")","这个词的有向图是..。(""SkillWave"")","Bu kelime için digraph... (""SkillWave"")","O digrafo para esta palavra é... (""SkillWave"")",,,
_stelim,The English language is made up of two types of sounds: vowels and consonants.,Английский язык состоит из двух типов звуков: гласных и согласных.,"Die englische Sprache wird ""up"" von zwei Arten von Klängen gebildet: Vokale und Konsonanten.","La lengua inglesa se hace ""para arriba"" de dos tipos de sonidos: vocales y consonantes.","La langue anglaise est faite ""up"" de deux types de sons: voyelles et consonnes.","يتم جعل اللغة الانجليزيه ""حتى"" من نوعين من الأصوات: أحرف العلة والساكنة.",英语是由两种声音组成的: 元音和辅音。,"İngilizce dilinden iki tür ses ""Up"" yapılır: sesli harfler ve ünsüzler.","O idioma inglês é feito ""up"" de dois tipos de sons: vogais e consoantes.",,,
_stfbyw,The final blends you will be practicing within this lesson are...,"Окончательные переходы, которые будут использоваться в этом уроке, являются...","Die abschließenden Blends werden Sie ""be"" üben in dieser Lektion sind ...","Las mezclas finales que usted ""estará"" practicando dentro de esta lección son ...",Les mélanges finaux que vous allez «être» la pratique dans cette leçon sont ...,"يمزج النهائي سوف ""يكون"" ممارسه ضمن هذا الدرس...","最后的融合, 你将 ""是"" 在这一课中练习..。","Son karışımları ""olacak"" Bu derste pratik içinde...","As misturas finais que você vai ""ser"" praticando dentro desta lição são...",,,
_sthefi,"The final ""E"" must be added when a word ends in ""ivebecause a word almost never ends in ""V"".","Окончательный вариант ""E"" должен ""быть"" добавлен, когда слово заканчивается в ""ивебекаусе слово почти никогда не заканчивается"" V "".","Das endgültige ""E"" muss ""be"" hinzugefügt, wenn ein Wort endet in ""ivebecause ein Wort fast nie endet in"" V "".","La ""E"" final debe ""ser"" añadida cuando una palabra termina en ""ivebecause una palabra casi nunca termina en"" V "".""","La finale ""E"" doit ""être"" ajoutée quand un mot se termine par ""ivebecause un mot ne finit presque jamais dans"" V "".""","النهائي ""E"" يجب ان ""يكون"" أضافه عندما كلمه ينتهي في ""الرابطة الدولية لان كلمه واحده تكاد لا تنتهي في"" V "".","最后的 ""E"" 必须 ""被"" 添加, 当一个词结束在 ""ivebecause 词几乎从未结束在"" V ""。","Son ""E"" ""bir kelime sona erdiğinde"" olmalıdır ""ivebecause bir kelime neredeyse hiçbir zaman"" V ""biter.","O final ""E"" deve ""ser"" adicionado quando uma palavra termina em ""ivebecause uma palavra quase nunca termina em"" V "".",,,
_stfdi,The first digraph is...,Первое расграфа...,Das erste Digraph ist ...,El primer digrama es ...,Le premier Digraphe est ...,الرسم البياني الأول هو...,第一个有向图是..。,İlk digraph...,O primeiro digrafo é...,,,
_stflot,The first letter of the keyword is the sound you want to remember.,"Первая буква ключевого слова — это звук, который необходимо запомнить.","Der erste Buchstabe des Schlüsselwortes ist der Ton, den Sie merken möchten.",La primera letra de la palabra clave es el sonido que desea recordar.,La première lettre du mot-clé est le son que vous voulez mémoriser.,الحرف الأول من الكلمة الاساسيه هو الصوت الذي تريد تذكره.,关键字的第一个字母是你想记住的声音。,Anahtar kelimenin ilk harfi hatırlamak istediğiniz ses.,A primeira letra da palavra-chave é o som que você deseja lembrar.,,,
_stfsiu,The first sound is unusual because it has two letters and one sound.,"Первый звук является необычным, поскольку он имеет две буквы и один звук.","Der erste Klang ist ungewöhnlich, da er zwei Buchstaben und einen Klang aufweist.",El primer sonido es inusual porque tiene dos letras y un sonido.,"Le premier son est inhabituel, car il a deux lettres et un son.",الصوت الأول غير عادي لأنه يحتوي علي حرفين وصوت واحد.,"第一声是不寻常的, 因为它有两个字母和一个声音。",Ilk ses alışılmadık çünkü iki harf ve bir ses vardır.,O primeiro som é incomum porque tem duas letras e um som.,,,
_stfsic,the first syllable in Column A to make a real word.,"первый слог в колонке A, чтобы сделать реальное слово.","die erste Silbe in Spalte a, um ein echtes Wort zu machen.",la primera sílaba en la columna a para hacer una palabra real.,la première syllabe dans la colonne a pour faire un vrai mot.,المقطع الأول في العمود A لجعل كلمه حقيقية.,"a 栏中的第一个音节, 使一个真正的字。",a sütunundaki ilk hece gerçek bir kelime yapmak.,a primeira sílaba na coluna a para fazer uma palavra real.,,,
_stfsio,"The first syllable is open and ends with the vowel (""Hint1"").","Первый слог открыт и заканчивается гласным (""хинт1"").","Die erste Silbe ist offen und endet mit dem Vokal (""Hint1"").","La primera sílaba está abierta y termina con la vocal (""Hint1"").","La première syllabe est ouverte et se termine par la voyelle (""Hint1"").","المقطع الأول مفتوح وينتهي مع حرف العلة (""Hint1"").","第一个音节是开放的, 以元音 (""Hint1"") 结束。","İlk hece açık ve ünlü (""Hint1"") ile biter.","A primeira sílaba está aberta e termina com a vogal (""Hint1"").",,,
_stfsit,"The first syllable is the word (""Hint1"").","Первым слогом является слово (""хинт1"").","Die erste Silbe ist das Wort (""Hint1"").","La primera sílaba es la palabra (""Hint1"").","La première syllabe est le mot (""Hint1"").","المقطع الأول هو الكلمة (""Hint1"").","第一个音节是单词 (""Hint1"")。","Ilk hece kelime (""Hint1"") dir.","A primeira sílaba é a palavra (""Hint1"").",,,
_stflaia,The following lesson activity is a demonstration.,Следующий урок является демонстрацией.,Die folgende Lektion-Aktivität ist eine Demonstration.,La siguiente actividad de la lección es una demostración.,L'activité de leçon suivante est une démonstration.,نشاط الدرس التالي هو مظاهره.,下面的课程活动是演示。,Aşağıdaki ders etkinliği bir gösteridir.,A seguinte atividade lição é uma demonstração.,,,
_stkf,The keyword for...,Ключевое слово для...,Das Schlüsselwort für ...,La palabra clave para ...,Le mot-clé pour ...,الكلمة الرئيسية ل...,关键字..。,Anahtar sözcüğü...,A palavra-chave para...,,,
_sthela,"The last two letters are always ""le"".","Последние два письма всегда ""Ле"".","Die letzten beiden Buchstaben sind immer ""Le"".","Las dos últimas letras son siempre ""le"".","Les deux dernières lettres sont toujours ""le"".","الحرفين الأخيرين دائما ""le"".","最后两个字母总是 ""le""。","Son iki harf her zaman ""Le"".","As duas últimas letras são sempre ""Le"".",,,
_stltla,The last two letters are always “le”.,"Последние два письма всегда ""Ле"".","Die letzten beiden Buchstaben sind immer ""Le"".","Las dos últimas letras son siempre ""le"".","Les deux dernières lettres sont toujours ""le"".","الحرفين الأخيرين دائما ""le"".","最后两个字母总是 ""le""。","Son iki harf her zaman ""Le"".","As duas últimas letras são sempre ""Le"".",,,
_stlimi,"The letter ""i"" makes its short sound.","Буква ""i"" делает ее коротким звуком.","Der Buchstabe ""i"" macht seinen kurzen Klang.","La letra ""i"" hace su sonido corto.","La lettre ""i"" fait son son court.","الحرف ""انا"" يجعل الصوت القصير.","字母 ""i"" 使它的短的声音。","""Ben"" harfi kısa sesini yapar.","A letra ""i"" faz o seu som curto.",,,
_stloit1,"The letter ""o"" in the word dog says ""aw"".","Буква ""o"" в слове ""о"" говорит ""ОУ"".","Der Buchstabe ""o"" im Wort Hund sagt ""AW"".","La letra ""o"" en la palabra perro dice ""AW"".","La lettre ""o"" dans le mot Dog dit ""aw"".","الحرف ""o"" في كلمه الكلبة يقول ""aw"".","狗字中的字母 ""o"" 表示 ""aw""。","""o"" harfi ""o"" kelimesi ""AW"" diyor.","A letra ""o"" na palavra ""cão"" diz ""aw"".",,,
_stloit,"The letter ""o"" in the word hot says ""ah"".","Буква ""o"" в слове ""горячая"" говорит ""а"".","Der Buchstabe ""o"" im Wort heißen ""Ah"".","La letra ""o"" en la palabra Hot dice ""Ah"".","La lettre ""o"" dans le mot Hot dit ""Ah"".","الحرف ""o"" في كلمه الساخنة يقول ""آه"".","字母 ""o"" 在词热说 ""啊""。","""o"" kelimesinin ""Ey"" harfi ""Ah"" diyor.","A letra ""o"" na palavra ""quente"" diz ""Ah"".",,,
_stloia,"The letter ""o"" is a vowel.","Буква ""o"" является гласной.","Der Buchstabe ""o"" ist ein Vokal.","La letra ""o"" es una vocal.","La lettre ""o"" est une voyelle.","الرسالة ""o"" حرف العلة.","字母 ""o"" 是一个元音。","""o"" harfi sesli harf.","A letra ""o"" é uma vogal.",,,
_stlsi,The letter “s” is,"Буква ""s""","Der Buchstabe ""s"" ist","La letra ""s"" es","La lettre ""s"" est","الحرف ""s"" هو","字母 ""s"" 是","""s"" harfi","A letra ""s"" é",,,
_stlsmo,"The letter ""s"" makes one sound, and the letters ""qu"" make a second sound.","Буква ""s"" делает один звук, а буквы ""Ку""-второй звук.","Der Buchstabe ""s"" macht einen Klang, und die Buchstaben ""Qu"" machen einen zweiten Klang.","La letra ""s"" hace un sonido, y las letras ""qu"" hacen un segundo sonido.","La lettre ""s"" fait un son, et les lettres ""qu"" font un deuxième son.","الحرف ""s"" يجعل صوت واحد ، والحروف ""كو"" جعل الصوت الثاني.","字母 ""s"" 发出一声, 字母 ""曲"" 发出第二声。","""s"" harfi bir ses ve harfler ""qu"" ikinci bir ses yapmak yapar.","A letra ""s"" faz um som, e as letras ""qu"" fazem um segundo som.",,,
_stltisw,"The letter ""t"" is silent when it is with the letters ""ch"".","Буква ""t"" не задается, когда она находится с буквами ""CH"".","Der Buchstabe ""t"" ist stumm, wenn er mit den Buchstaben ""ch"" ist.","La letra ""t"" es silenciosa cuando está con las letras ""CH"".","La lettre ""t"" est silencieuse quand il est avec les lettres ""ch"".","الحرف ""t"" صامت عندما يكون مع الحروف ""ch"".","字母 ""t"" 是无声的, 当它是与字母 ""ch""。","""t"" harfi ""CH"" harfleri ile olduğunda sessiz.","A letra ""t"" é silenciosa quando está com as letras ""ch"".",,,
_stlyal,"the letter ""y"" as long ""i"".","буква ""y"" до ""i"".","der Buchstabe ""y"" als lang ""i"".","la letra ""y"" como larga ""i"".","la lettre ""y"" aussi longtemps ""i"".","الحرف ""y"" طالما ""انا""","字母 ""y"" 为长 ""i""。","""y"" harfi uzun ""ı"".","a letra ""y"" como Long ""i"".",,,
_stlywm,"The letter “y” will make the sound of short ""“i”"", as in the word “system”.","Буква ""y"" будет звучать коротко """" i """", как и в слове ""система"".","Der Buchstabe ""y"" wird den Klang des kurzen ""i"", wie im Wort ""System"", machen.","La letra ""y"" hará el sonido de ""i"" corto, como en la palabra ""sistema"".","La lettre ""y"" fera le son de """" i """", comme dans le mot ""System"".","الحرف ""y"" سيجعل صوت قصير ""i"" ، كما في كلمه ""نظام"".","字母 ""y"" 将发出短 ""i"" 的声音, 如在 ""系统"" 一词。","""y"" harfi ""sistem"" kelimesi gibi kısa ""ı"" ""ı"" sesini yapacak.","A letra ""y"" fará o som de ""i"" curto, como na palavra ""sistema"".",,,
_stlateo,The letter at the end of the word is not doubled for these exceptions.,Для этих исключений буква в конце слова не удваивается.,Der Buchstabe am Ende des Wortes wird für diese Ausnahmen nicht verdoppelt.,La letra al final de la palabra no se duplica para estas excepciones.,La lettre à la fin du mot n'est pas doublée pour ces exceptions.,لا يتم مضاعفه الحرف في نهاية الكلمة لهذه الاستثناءات.,在这个词的结尾的字母不会加倍为这些例外。,Sözcüğün sonundaki harf bu özel durumlar için iki katına çıkmaz.,A letra no final da palavra não é duplicada para essas exceções.,,,
_stli,The letter is...,Письмо...,Der Brief ist ...,La carta es ...,La lettre est ...,الرسالة هي...,这封信是..。,Mektup...,A carta é...,,,
_stlsit,"The letter ""s"" in the word wise makes the sound of the letter ""z"".",Буква «s» в слове Wise делает звук буквы «z».,"Der Buchstabe ""s"" im Wort weis macht den Klang des Buchstabens ""z"".","La letra ""s"" en la palabra ""Wise"" hace que suene la letra ""z"".","La lettre ""s"" dans le mot Wise fait le son de la lettre ""z"".","الحرف ""s"" في كلمه حكيم يجعل صوت الحرف ""z"".","字母 ""s"" 在词聪明牌子字母 ""z"" 的声音。","Kelime bilge ""s"" harfi ""z"" harfi ses yapar.","A letra ""s"" na palavra Wise faz o som da letra ""z"".",,,
_stlca,"The letters ""“ck”"" are","Буквы """" СК """"","Die Buchstaben ""ck""","Las letras ""CK"" son","Les lettres """" CK """" sont","والحروف ""ck"" هي","字母 ""ck"" 是","""CK"" harfi","As letras """" CK ""são",,,
_stleas,"The letters ""gh"" are silent, but are part of the sound /""ay""/.","Буквы ""ОУ"" молчат, но являются частью звука/""Ай""/.","Die Buchstaben ""GH"" sind leise, sind aber Teil des Klangs/""ay""/.","Las letras ""GH"" son silenciosas, pero son parte del sonido/""Ay""/.","Les lettres ""GH"" sont silencieuses, mais font partie du son/""ay""/.","الحروف ""غ"" صامته ، ولكنها جزء من الصوت/""ay""/.","字母 ""gh"" 是无声的, 但是声音的一部分/""唉""/。","Harfler ""GH"" sessiz, ama ses bir parçası/""ay""/.","As letras ""GH"" são silenciosas, mas fazem parte do som/""ay""/.",,,
_stlgha,"The letters ""“gh”"" are silent.","Буквы """" ОУ """" молчат.","Die Buchstaben ""GH"" ""Schweigen"".","Las letras """" GH """" son silenciosas.","Les lettres """" GH """" sont silencieuses.","الحروف ""غ"" صامته","字母 ""gh"" 是无声的。","""GH"" harfleri sessiz.","As letras ""GH"" são silenciosas.",,,
_stlgcm,"The letters ""gh"" can make the /g/ sound as in ""ghost"", ""ir"" the /""f""/ sound as in ""laugh"".","Буквы ""ОУ"" могут сделать/г/звук, как в ""Ghost"", ""ИК"", ""f""/звук, как в ""смехе"".","Die Buchstaben ""GH"" können den g/Klang wie in ""Ghost"", ""IR"" das/""f""/Klang wie in ""Lachen"" machen.","Las letras ""GH"" pueden hacer el sonido/como en ""Ghost"", ""ir"" el/""f""/sonido como en ""Laugh"".","Les lettres ""GH"" peut faire le son/g/comme dans ""Ghost"", ""IR"" le/""f""/Sound comme dans ""rire"".","الحروف ""غ"" يمكن ان تجعل/الصوت كما في ""الأشباح"" ، ""ir"" و/""f""/الصوت كما في ""الضحك"".","字母 ""gh"" 能做/g/声如在 ""鬼"", ""ir""/""f""/声音如在 ""笑""。","""GH"" harfler ""Ghost"" olarak/g/ses, ""IR""/""f""/ses ""gülmek"" olarak yapabilirsiniz.","As letras ""GH"" pode fazer o som/g/como em ""Ghost"", ""ir"" o/""f""/som como em ""rir"".",,,
